rating,date,variation,verified_reviews,feedback,cleaned_reviews,sentiments,compound,sentiment_type
5,31-Jul-18,Charcoal Fabric ,Love my Echo!,1,love echo,"{'neg': 0.0, 'neu': 0.192, 'pos': 0.808, 'compound': 0.6369}",0.6369,positive
5,31-Jul-18,Charcoal Fabric ,Loved it!,1,loved,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5994}",0.5994,positive
4,31-Jul-18,Walnut Finish ,"Sometimes while playing a game, you can answer a question correctly but Alexa says you got it wrong and answers the same as you.  I like being able to turn lights on and off while away from home.",1,sometimes playing game answer question correctly alexa says got wrong answers like able turn lights away home,"{'neg': 0.145, 'neu': 0.654, 'pos': 0.201, 'compound': 0.0516}",0.0516,positive
5,31-Jul-18,Charcoal Fabric ,"I have had a lot of fun with this thing. My 4 yr old learns about dinosaurs, i control the lights and play games like categories. Has nice sound when playing music as well.",1,lot fun thing yr old learns dinosaurs control lights play games like categories nice sound playing music well,"{'neg': 0.0, 'neu': 0.446, 'pos': 0.554, 'compound': 0.9169}",0.9169,positive
5,31-Jul-18,Charcoal Fabric ,Music,1,music,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
5,31-Jul-18,Heather Gray Fabric ,"I received the echo as a gift. I needed another Bluetooth or something to play music easily accessible, and found this smart speaker. Can’t wait to see what else it can do.",1,received echo gift needed another bluetooth something play music easily accessible found smart speaker cant wait see else,"{'neg': 0.0, 'neu': 0.574, 'pos': 0.426, 'compound': 0.8555}",0.8555,positive
3,31-Jul-18,Sandstone Fabric ,"Without having a cellphone, I cannot use many of her features. I have an iPad but do not see that of any use.  It IS a great alarm.  If u r almost deaf, you can hear her alarm in the bedroom from out in the living room, so that is reason enough to keep her.It is fun to ask random questions to hear her response.  She does not seem to be very smartbon politics yet.",1,without cellphone use many features ipad see use great alarm u r almost deaf hear alarm bedroom living room reason enough keep herit fun ask random questions hear response seem smartbon politics yet,"{'neg': 0.122, 'neu': 0.689, 'pos': 0.189, 'compound': 0.5574}",0.5574,positive
5,31-Jul-18,Charcoal Fabric ,I think this is the 5th one I've purchased. I'm working on getting one in every room of my house. I really like what features they offer specifily playing music on all Echos and controlling the lights throughout my house.,1,think th one ive purchased im working getting one every room house really like features offer specifily playing music echos controlling lights throughout house,"{'neg': 0.0, 'neu': 0.827, 'pos': 0.173, 'compound': 0.5563}",0.5563,positive
5,30-Jul-18,Heather Gray Fabric ,looks great,1,looks great,"{'neg': 0.0, 'neu': 0.196, 'pos': 0.804, 'compound': 0.6249}",0.6249,positive
5,30-Jul-18,Heather Gray Fabric ,"Love it! I’ve listened to songs I haven’t heard since childhood! I get the news, weather, information! It’s great!",1,love ive listened songs havent heard since childhood get news weather information great,"{'neg': 0.0, 'neu': 0.57, 'pos': 0.43, 'compound': 0.8519}",0.8519,positive
5,30-Jul-18,Charcoal Fabric ,"I sent it to my 85 year old Dad, and he talks to it constantly.",1,sent year old dad talks constantly,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
5,30-Jul-18,Charcoal Fabric ,I love it! Learning knew things with it eveyday! Still figuring out how everything works but so far it's been easy to use and understand. She does make me laugh at times,1,love learning knew things eveyday still figuring everything works far easy use understand make laugh times,"{'neg': 0.0, 'neu': 0.549, 'pos': 0.451, 'compound': 0.8934}",0.8934,positive
5,30-Jul-18,Oak Finish ,"I purchased this for my mother who is having knee problems now, to give her something to do while trying to over come not getting around so fast like she did.She enjoys all the little and big things it can do...Alexa play this song, What time is it and where, and how to cook this and that!",1,purchased mother knee problems give something trying come getting around fast like didshe enjoys little big things doalexa play song time cook,"{'neg': 0.093, 'neu': 0.623, 'pos': 0.284, 'compound': 0.6705}",0.6705,positive
5,30-Jul-18,Charcoal Fabric ,"Love, Love, Love!!",1,love love love,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.9274}",0.9274,positive
5,30-Jul-18,Oak Finish ,Just what I expected....,1,expected,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
5,30-Jul-18,Heather Gray Fabric ,"I love it, wife hates it.",1,love wife hates,"{'neg': 0.358, 'neu': 0.123, 'pos': 0.519, 'compound': 0.3182}",0.3182,positive
5,30-Jul-18,Heather Gray Fabric ,Really happy with this purchase.  Great speaker and easy to set up.,1,really happy purchase great speaker easy set,"{'neg': 0.0, 'neu': 0.262, 'pos': 0.738, 'compound': 0.9053}",0.9053,positive
5,30-Jul-18,Heather Gray Fabric ,We have only been using Alexa for a couple of days and are having a lot of fun with our new toy. It like having a new household member! We are trying to learn all the different featues and benefits that come with it.,1,using alexa couple days lot fun new toy like new household member trying learn different featues benefits come,"{'neg': 0.0, 'neu': 0.641, 'pos': 0.359, 'compound': 0.8126}",0.8126,positive
5,30-Jul-18,Charcoal Fabric ,We love the size of the 2nd generation echo. Still needs a little improvement on sound,1,love size nd generation echo still needs little improvement sound,"{'neg': 0.0, 'neu': 0.537, 'pos': 0.463, 'compound': 0.785}",0.785,positive
